flight_id,airline,source,destination,departure_time,arrival_time,duration_mins,is_overnight,duration_hhmm,route,is_delayed,departure_slot
6F026,INDIGO,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,1,4h 27m,BOM to CCU,1,Night (21-05)
UK167,VISTARA,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,181.0,1,3h 1m,DEL to MAA,0,Night (21-05)
UK027,VISTARA,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,1,2h 21m,BOM to CCU,0,Night (21-05)
AI069,Air India,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,226.0,1,3h 46m,DEL to BOM,1,Night (21-05)
AI058,AIR INDIA,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,1,1h 38m,BOM to CCU,0,Night (21-05)
AI140,AIR INDIA,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,223.0,1,3h 43m,BOM to DEL,1,Night (21-05)
SJ239,SPICEJET,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,106.0,1,1h 46m,BOM to CCU,0,Night (21-05)
6F099,INDIGO,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0,0,0h 35m,MAA to DEL,0,Night (21-05)
AI048,AIR INDIA,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,232.0,1,3h 52m,CCU to DEL,1,Night (21-05)
SJ112,SPICEJET,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,140.0,1,2h 20m,HYD to DEL,0,Night (21-05)
6F164,INDIGO,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,1,2h 27m,BLR to BOM,0,Night (21-05)
UK021,VISTARA,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,110.0,0,1h 50m,HYD to MAA,0,Night (21-05)
SJ172,SPICEJET,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,196.0,1,3h 16m,CCU to DEL,0,Night (21-05)
AI060,AIR INDIA,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,113.0,0,1h 53m,DEL to HYD,0,Night (21-05)
SJ205,SPICEJET,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,0,1h 4m,HYD to CCU,0,Night (21-05)
SJ093,SPICEJET,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,66.0,0,1h 6m,BLR to BOM,0,Night (21-05)
6F195,INDIGO,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,55.0,0,0h 55m,CCU to DEL,0,Night (21-05)
UK003,Vistara,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,278.0,1,4h 38m,HYD to DEL,1,Night (21-05)
UK026,VISTARA,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,0,2h 6m,HYD to MAA,0,Night (21-05)
6F174,INDIGO,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,40.0,0,0h 40m,DEL to HYD,0,Night (21-05)
UK067,VISTARA,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,206.0,1,3h 26m,BOM to CCU,0,Night (21-05)
SJ149,SPICEJET,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,120.0,0,2h 0m,HYD to MAA,0,Night (21-05)
6F213,INDIGO,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,207.0,1,3h 27m,BLR to BOM,1,Night (21-05)
UK200,VISTARA,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,111.0,0,1h 51m,CCU to DEL,0,Evening (17-21)
SJ214,SPICEJET,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,76.0,0,1h 16m,BOM to MAA,0,Evening (17-21)
SJ047,SPICEJET,HYD,BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,37.0,0,0h 37m,HYD to BOM,0,Evening (17-21)
AI179,AIR INDIA,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,278.0,1,4h 38m,HYD to BOM,1,Evening (17-21)
SJ153,SPICEJET,DEL,CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,83.0,0,1h 23m,DEL to CCU,0,Evening (17-21)
6F236,INDIGO,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,199.0,0,3h 19m,BOM to DEL,0,Evening (17-21)
UK059,VISTARA,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,97.0,0,1h 37m,HYD to MAA,0,Evening (17-21)
SJ001,SPICEJET,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,287.0,1,4h 47m,BOM to MAA,1,Evening (17-21)
SJ049,SPICEJET,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,1,4h 0m,CCU to DEL,1,Evening (17-21)
6F086,INDIGO,MAA,HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,37.0,0,0h 37m,MAA to HYD,0,Evening (17-21)
AI220,AIR INDIA,BOM,DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,98.0,0,1h 38m,BOM to DEL,0,Evening (17-21)
AI188,AIR INDIA,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,166.0,0,2h 46m,CCU to HYD,0,Evening (17-21)
6F114,INDIGO,BOM,MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,50.0,0,0h 50m,BOM to MAA,0,Evening (17-21)
SJ179,SPICEJET,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,210.0,0,3h 30m,DEL to HYD,0,Evening (17-21)
6F190,INDIGO,DEL,MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,274.0,1,4h 34m,DEL to MAA,1,Evening (17-21)
SJ003,SPICEJET,MAA,CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,42.0,0,0h 42m,MAA to CCU,0,Evening (17-21)
6F028,INDIGO,HYD,CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,120.0,0,2h 0m,HYD to CCU,0,Evening (17-21)
UK036,VISTARA,CCU,BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,264.0,1,4h 24m,CCU to BLR,1,Evening (17-21)
SJ160,SPICEJET,MAA,BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,45.0,0,0h 45m,MAA to BLR,0,Evening (17-21)
6F151,INDIGO,CCU,HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,140.0,0,2h 20m,CCU to HYD,0,Evening (17-21)
UK140,VISTARA,MAA,BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,83.0,0,1h 23m,MAA to BLR,0,Evening (17-21)
AI115,AIR INDIA,MAA,BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,289.0,1,4h 49m,MAA to BLR,1,Evening (17-21)
AI132,AIR INDIA,BLR,BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,129.0,0,2h 9m,BLR to BOM,0,Evening (17-21)
SJ043,SpiceJet,MAA,DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,129.0,0,2h 9m,MAA to DEL,0,Evening (17-21)
UK176,VISTARA,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0,0,4h 8m,HYD to BLR,1,Evening (17-21)
UK216,VISTARA,MAA,HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,194.0,0,3h 14m,MAA to HYD,0,Evening (17-21)
UK150,VISTARA,DEL,CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,30.0,0,0h 30m,DEL to CCU,0,Evening (17-21)
UK145,VISTARA,BOM,HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,131.0,0,2h 11m,BOM to HYD,0,Evening (17-21)
6F012,INDIGO,CCU,HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,205.0,0,3h 25m,CCU to HYD,1,Evening (17-21)
SJ236,SPICEJET,MAA,BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,239.0,0,3h 59m,MAA to BOM,1,Evening (17-21)
6F149,INDIGO,BLR,CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,165.0,0,2h 45m,BLR to CCU,0,Evening (17-21)
UK004,VISTARA,BOM,CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,34.0,0,0h 34m,BOM to CCU,0,Evening (17-21)
UK010,VISTARA,MAA,HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,167.0,0,2h 47m,MAA to HYD,0,Evening (17-21)
UK215,VISTARA,BOM,DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,132.0,0,2h 12m,BOM to DEL,0,Evening (17-21)
SJ116,SPICEJET,HYD,CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,89.0,0,1h 29m,HYD to CCU,0,Evening (17-21)
SJ023,SPICEJET,HYD,MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,102.0,0,1h 42m,HYD to MAA,0,Evening (17-21)
UK152,VISTARA,BOM,CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,169.0,0,2h 49m,BOM to CCU,0,Evening (17-21)
SJ202,SPICEJET,CCU,HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,107.0,0,1h 47m,CCU to HYD,0,Evening (17-21)
6F043,INDIGO,BOM,HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,86.0,0,1h 26m,BOM to HYD,0,Evening (17-21)
UK173,VISTARA,MAA,BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,256.0,0,4h 16m,MAA to BLR,1,Evening (17-21)
SJ081,SPICEJET,BOM,BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,109.0,0,1h 49m,BOM to BLR,0,Evening (17-21)
UK153,VISTARA,CCU,HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,241.0,0,4h 1m,CCU to HYD,1,Afternoon (12-17)
UK187,VISTARA,BLR,BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,110.0,0,1h 50m,BLR to BOM,0,Afternoon (12-17)
UK055,VISTARA,HYD,DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,163.0,0,2h 43m,HYD to DEL,0,Afternoon (12-17)
UK181,VISTARA,MAA,DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,162.0,0,2h 42m,MAA to DEL,0,Afternoon (12-17)
UK074,VISTARA,BOM,DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,117.0,0,1h 57m,BOM to DEL,0,Afternoon (12-17)
SJ068,SPICEJET,BLR,BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,124.0,0,2h 4m,BLR to BOM,0,Afternoon (12-17)
AI242,Air India,BLR,CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,62.0,0,1h 2m,BLR to CCU,0,Afternoon (12-17)
SJ237,SPICEJET,BOM,CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,148.0,0,2h 28m,BOM to CCU,0,Afternoon (12-17)
6F194,INDIGO,BOM,CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,118.0,0,1h 58m,BOM to CCU,0,Afternoon (12-17)
UK063,VISTARA,DEL,BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,72.0,0,1h 12m,DEL to BOM,0,Afternoon (12-17)
UK068,VISTARA,BLR,MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,101.0,0,1h 41m,BLR to MAA,0,Afternoon (12-17)
UK077,Vistara,HYD,BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,98.0,0,1h 38m,HYD to BOM,0,Afternoon (12-17)
UK207,VISTARA,MAA,CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,75.0,0,1h 15m,MAA to CCU,0,Afternoon (12-17)
AI221,AIR INDIA,MAA,HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,156.0,0,2h 36m,MAA to HYD,0,Afternoon (12-17)
UK109,VISTARA,BLR,BOM,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,60.0,0,1h 0m,BLR to BOM,0,Afternoon (12-17)
UK089,VISTARA,BOM,HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,252.0,0,4h 12m,BOM to HYD,1,Afternoon (12-17)
AI072,AIR INDIA,BLR,CCU,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,58.0,0,0h 58m,BLR to CCU,0,Afternoon (12-17)
UK131,VISTARA,BOM,DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,246.0,0,4h 6m,BOM to DEL,1,Afternoon (12-17)
SJ150,SPICEJET,BOM,HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,210.0,0,3h 30m,BOM to HYD,0,Afternoon (12-17)
6F097,INDIGO,BLR,BOM,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,77.0,0,1h 17m,BLR to BOM,0,Afternoon (12-17)
6F123,INDIGO,DEL,HYD,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,106.0,0,1h 46m,DEL to HYD,0,Afternoon (12-17)
6F017,INDIGO,CCU,BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,0,2h 41m,CCU to BOM,0,Afternoon (12-17)
6F245,INDIGO,CCU,BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,0,2h 41m,CCU to BOM,0,Afternoon (12-17)
6F180,INDIGO,MAA,BLR,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,264.0,0,4h 24m,MAA to BLR,1,Afternoon (12-17)
6F152,INDIGO,CCU,DEL,2026-04-20 15:21:41.703,2026-04-20 17:25:41.703,124.0,0,2h 4m,CCU to DEL,0,Afternoon (12-17)
SJ034,SPICEJET,MAA,BOM,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,291.0,0,4h 51m,MAA to BOM,1,Afternoon (12-17)
SJ142,SPICEJET,CCU,BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,102.0,0,1h 42m,CCU to BOM,0,Afternoon (12-17)
UK189,VISTARA,BLR,MAA,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,224.0,0,3h 44m,BLR to MAA,0,Afternoon (12-17)
SJ044,SPICEJET,DEL,CCU,2026-04-20 15:06:41.701,2026-04-20 17:43:41.701,157.0,0,2h 37m,DEL to CCU,0,Afternoon (12-17)
SJ196,SPICEJET,DEL,HYD,2026-04-20 14:58:41.703,2026-04-20 17:44:41.703,166.0,0,2h 46m,DEL to HYD,0,Afternoon (12-17)
6F188,INDIGO,DEL,HYD,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,282.0,0,4h 42m,DEL to HYD,1,Afternoon (12-17)
6F181,INDIGO,BOM,MAA,2026-04-20 14:55:41.703,2026-04-20 16:43:41.703,108.0,0,1h 48m,BOM to MAA,0,Afternoon (12-17)
6F077,INDIGO,CCU,DEL,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,258.0,0,4h 18m,CCU to DEL,1,Afternoon (12-17)
SJ154,SPICEJET,BLR,HYD,2026-04-20 14:47:41.702,2026-04-20 16:26:41.702,99.0,0,1h 39m,BLR to HYD,0,Afternoon (12-17)
AI025,AIR INDIA,HYD,DEL,2026-04-20 14:46:41.701,2026-04-20 17:11:41.701,145.0,0,2h 25m,HYD to DEL,0,Afternoon (12-17)
AI094,AIR INDIA,DEL,BLR,2026-04-20 14:44:41.702,2026-04-20 15:44:42.000,60.0,0,1h 0m,DEL to BLR,0,Afternoon (12-17)
6F191,INDIGO,BLR,DEL,2026-04-20 14:41:41.703,2026-04-20 15:11:41.703,30.0,0,0h 30m,BLR to DEL,0,Afternoon (12-17)
SJ085,SPICEJET,BLR,MAA,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,270.0,0,4h 30m,BLR to MAA,1,Afternoon (12-17)
6F129,INDIGO,DEL,CCU,2026-04-20 14:28:41.702,2026-04-20 16:47:41.702,139.0,0,2h 19m,DEL to CCU,0,Afternoon (12-17)
SJ185,SPICEJET,BOM,CCU,2026-04-20 14:21:41.703,2026-04-20 15:21:41.703,60.0,0,1h 0m,BOM to CCU,0,Afternoon (12-17)
6F030,INDIGO,BOM,DEL,2026-04-20 14:20:41.701,2026-04-20 17:10:41.701,170.0,0,2h 50m,BOM to DEL,0,Afternoon (12-17)
SJ222,SPICEJET,BOM,DEL,2026-04-20 14:15:41.703,2026-04-20 17:09:41.703,174.0,0,2h 54m,BOM to DEL,0,Afternoon (12-17)
UK083,VISTARA,DEL,HYD,2026-04-20 14:10:41.702,2026-04-20 14:59:41.702,49.0,0,0h 49m,DEL to HYD,0,Afternoon (12-17)
6F051,INDIGO,BLR,BOM,2026-04-20 13:58:41.701,2026-04-20 15:58:41.701,120.0,0,2h 0m,BLR to BOM,0,Afternoon (12-17)
SJ088,SPICEJET,CCU,MAA,2026-04-20 13:54:41.702,2026-04-20 14:26:41.702,32.0,0,0h 32m,CCU to MAA,0,Afternoon (12-17)
6F146,INDIGO,HYD,MAA,2026-04-20 13:51:41.703,2026-04-20 15:07:41.703,76.0,0,1h 16m,HYD to MAA,0,Afternoon (12-17)
6F047,INDIGO,MAA,DEL,2026-04-20 13:50:41.701,2026-04-20 15:55:41.701,125.0,0,2h 5m,MAA to DEL,0,Afternoon (12-17)
AI077,AIR INDIA,CCU,HYD,2026-04-20 13:45:41.702,2026-04-20 14:51:41.702,66.0,0,1h 6m,CCU to HYD,0,Afternoon (12-17)
UK134,VISTARA,HYD,CCU,2026-04-20 13:44:41.702,2026-04-20 17:26:41.702,222.0,0,3h 42m,HYD to CCU,1,Afternoon (12-17)
AI056,AIR INDIA,DEL,MAA,2026-04-20 13:44:41.701,2026-04-20 17:39:41.701,235.0,0,3h 55m,DEL to MAA,0,Afternoon (12-17)
AI030,AIR INDIA,CCU,HYD,2026-04-20 13:33:41.701,2026-04-20 16:52:41.701,199.0,0,3h 19m,CCU to HYD,1,Afternoon (12-17)
AI029,AIR INDIA,MAA,DEL,2026-04-20 13:29:41.701,2026-04-20 17:53:41.701,264.0,0,4h 24m,MAA to DEL,1,Afternoon (12-17)
SJ167,SPICEJET,MAA,CCU,2026-04-20 13:18:41.703,2026-04-20 14:12:41.703,54.0,0,0h 54m,MAA to CCU,0,Afternoon (12-17)
UK017,VISTARA,BLR,HYD,2026-04-20 13:14:41.701,2026-04-20 14:49:41.701,95.0,0,1h 35m,BLR to HYD,0,Afternoon (12-17)
6F229,INDIGO,MAA,DEL,2026-04-20 13:10:41.704,2026-04-20 14:30:41.704,80.0,0,1h 20m,MAA to DEL,0,Afternoon (12-17)
SJ117,SPICEJET,MAA,BLR,2026-04-20 13:10:41.702,2026-04-20 17:06:41.702,236.0,0,3h 56m,MAA to BLR,1,Afternoon (12-17)
6F184,INDIGO,MAA,BOM,2026-04-20 13:05:41.703,2026-04-20 16:04:41.703,179.0,0,2h 59m,MAA to BOM,0,Afternoon (12-17)
AI031,AIR INDIA,DEL,MAA,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,186.0,0,3h 6m,DEL to MAA,0,Afternoon (12-17)
AI178,AIR INDIA,CCU,BLR,2026-04-20 13:04:41.703,2026-04-20 14:03:41.703,59.0,0,0h 59m,CCU to BLR,0,Afternoon (12-17)
SJ089,SPICEJET,HYD,CCU,2026-04-20 12:42:41.702,2026-04-20 17:15:41.702,273.0,0,4h 33m,HYD to CCU,1,Afternoon (12-17)
UK166,VISTARA,HYD,MAA,2026-04-20 12:39:41.703,2026-04-20 17:32:41.703,293.0,0,4h 53m,HYD to MAA,1,Afternoon (12-17)
UK104,VISTARA,DEL,BOM,2026-04-20 12:30:41.702,2026-04-20 13:52:41.702,82.0,0,1h 22m,DEL to BOM,0,Afternoon (12-17)
6F168,INDIGO,HYD,DEL,2026-04-20 12:18:41.703,2026-04-20 15:58:41.703,220.0,0,3h 40m,HYD to DEL,0,Afternoon (12-17)
AI222,Air India,BOM,DEL,2026-04-20 12:10:41.703,2026-04-20 13:14:41.703,64.0,0,1h 4m,BOM to DEL,0,Afternoon (12-17)
SJ025,SPICEJET,BOM,CCU,2026-04-20 12:02:41.701,2026-04-20 15:29:41.701,207.0,0,3h 27m,BOM to CCU,0,Afternoon (12-17)
UK228,VISTARA,DEL,MAA,2026-04-20 11:58:41.704,2026-04-20 15:08:41.704,190.0,0,3h 10m,DEL to MAA,0,Morning (09-12)
6F158,INDIGO,CCU,MAA,2026-04-20 11:58:41.703,2026-04-20 16:04:41.703,246.0,0,4h 6m,CCU to MAA,1,Morning (09-12)
SJ218,SPICEJET,DEL,HYD,2026-04-20 11:58:41.703,2026-04-20 15:03:41.703,185.0,0,3h 5m,DEL to HYD,0,Morning (09-12)
6F034,INDIGO,BOM,DEL,2026-04-20 11:53:41.701,2026-04-20 12:49:41.701,56.0,0,0h 56m,BOM to DEL,0,Morning (09-12)
UK156,VISTARA,MAA,BLR,2026-04-20 11:50:41.703,2026-04-20 15:54:41.703,244.0,0,4h 4m,MAA to BLR,1,Morning (09-12)
6F105,INDIGO,BLR,BOM,2026-04-20 11:46:41.702,2026-04-20 12:58:41.702,72.0,0,1h 12m,BLR to BOM,0,Morning (09-12)
6F073,INDIGO,DEL,CCU,2026-04-20 11:38:41.702,2026-04-20 15:18:41.702,220.0,0,3h 40m,DEL to CCU,1,Morning (09-12)
SJ074,SPICEJET,DEL,CCU,2026-04-20 11:21:41.701,2026-04-20 12:02:41.701,41.0,0,0h 41m,DEL to CCU,0,Morning (09-12)
6F234,INDIGO,BOM,DEL,2026-04-20 11:20:41.704,2026-04-20 14:11:41.704,171.0,0,2h 51m,BOM to DEL,0,Morning (09-12)
6F068,INDIGO,BLR,HYD,2026-04-20 11:17:41.701,2026-04-20 15:06:41.701,229.0,0,3h 49m,BLR to HYD,1,Morning (09-12)
6F074,INDIGO,HYD,BOM,2026-04-20 11:09:41.702,2026-04-20 14:29:41.702,200.0,0,3h 20m,HYD to BOM,1,Morning (09-12)
AI038,AIR INDIA,HYD,MAA,2026-04-20 11:05:41.701,2026-04-20 15:44:41.701,279.0,0,4h 39m,HYD to MAA,1,Morning (09-12)
AI079,AIR INDIA,CCU,BLR,2026-04-20 11:04:41.702,2026-04-20 13:19:41.702,135.0,0,2h 15m,CCU to BLR,0,Morning (09-12)
SJ018,SPICEJET,BOM,CCU,2026-04-20 10:58:41.701,2026-04-20 13:31:41.701,153.0,0,2h 33m,BOM to CCU,0,Morning (09-12)
6F018,INDIGO,DEL,BLR,2026-04-20 10:57:41.701,2026-04-20 11:43:41.701,46.0,0,0h 46m,DEL to BLR,0,Morning (09-12)
AI091,AIR INDIA,CCU,MAA,2026-04-20 10:52:41.702,2026-04-20 15:15:41.702,263.0,0,4h 23m,CCU to MAA,1,Morning (09-12)
UK071,VISTARA,DEL,HYD,2026-04-20 10:50:41.701,2026-04-20 14:06:41.701,196.0,0,3h 16m,DEL to HYD,0,Morning (09-12)
AI019,AIR INDIA,BOM,CCU,2026-04-20 10:49:41.701,2026-04-20 11:51:41.701,62.0,0,1h 2m,BOM to CCU,0,Morning (09-12)
UK212,VISTARA,HYD,MAA,2026-04-20 10:46:41.704,2026-04-20 11:31:41.704,45.0,0,0h 45m,HYD to MAA,0,Morning (09-12)
AI146,AIR INDIA,BLR,DEL,2026-04-20 10:40:41.702,2026-04-20 13:46:41.702,186.0,0,3h 6m,BLR to DEL,0,Morning (09-12)
6F232,INDIGO,MAA,BLR,2026-04-20 10:39:41.704,2026-04-20 12:22:41.704,103.0,0,1h 43m,MAA to BLR,0,Morning (09-12)
6F084,INDIGO,CCU,HYD,2026-04-20 10:34:41.702,2026-04-20 11:34:42.000,60.0,0,1h 0m,CCU to HYD,0,Morning (09-12)
AI129,AIR INDIA,BOM,CCU,2026-04-20 10:29:41.702,2026-04-20 13:38:41.702,189.0,0,3h 9m,BOM to CCU,0,Morning (09-12)
AI240,AIR INDIA,MAA,DEL,2026-04-20 10:19:41.704,2026-04-20 12:46:41.704,147.0,0,2h 27m,MAA to DEL,0,Morning (09-12)
6F091,INDIGO,BLR,CCU,2026-04-20 10:10:41.702,2026-04-20 11:36:41.702,86.0,0,1h 26m,BLR to CCU,0,Morning (09-12)
UK133,VISTARA,BOM,DEL,2026-04-20 10:04:41.702,2026-04-20 13:16:41.702,192.0,0,3h 12m,BOM to DEL,0,Morning (09-12)
SJ007,SPICEJET,BOM,CCU,2026-04-20 10:03:41.701,2026-04-20 14:53:41.701,290.0,0,4h 50m,BOM to CCU,1,Morning (09-12)
SJ141,SPICEJET,CCU,DEL,2026-04-20 10:00:41.702,2026-04-20 13:37:41.702,217.0,0,3h 37m,CCU to DEL,1,Morning (09-12)
6F049,INDIGO,HYD,DEL,2026-04-20 10:00:41.701,2026-04-20 13:13:41.701,193.0,0,3h 13m,HYD to DEL,0,Morning (09-12)
SJ235,SPICEJET,BOM,DEL,2026-04-20 09:57:41.704,2026-04-20 13:45:41.704,228.0,0,3h 48m,BOM to DEL,1,Morning (09-12)
UK087,VISTARA,HYD,MAA,2026-04-20 09:49:41.702,2026-04-20 13:17:41.702,208.0,0,3h 28m,HYD to MAA,1,Morning (09-12)
UK170,VISTARA,BOM,BLR,2026-04-20 09:42:41.703,2026-04-20 11:32:41.703,110.0,0,1h 50m,BOM to BLR,0,Morning (09-12)
